Date,Category,Type,Amount
01-01-2000,Coffee/Snacks,Expense,-21.38
01-01-2000,Coffee/Snacks,Expense,-16.22
01-01-2000,Transportation,Expense,-49.65
01-01-2000,Transportation,Expense,-61.02
01-01-2000,Groceries,Expense,-148.47
01-01-2000,Transportation,Expense,-48.95
01-01-2000,Transportation,Expense,-28.21
01-01-2000,Rent/Mortgage,Expense,-1500
01-01-2000,Salary,Income,2500
02-01-2000,Transportation,Expense,-10.96
02-01-2000,Groceries,Expense,-65.33
02-01-2000,Entertainment,Expense,-146.13
02-01-2000,Groceries,Expense,-130.08
02-01-2000,Coffee/Snacks,Expense,-11.3
03-01-2000,Transportation,Expense,-42.23
03-01-2000,Eating Out,Expense,-13.94
03-01-2000,Coffee/Snacks,Expense,-6.99
03-01-2000,Eating Out,Expense,-31.28
04-01-2000,Groceries,Expense,-119.38
04-01-2000,Coffee/Snacks,Expense,-9.3
04-01-2000,Eating Out,Expense,-11.4
04-01-2000,Coffee/Snacks,Expense,-20.7
04-01-2000,Groceries,Expense,-37.56
04-01-2000,Groceries,Expense,-16.83
05-01-2000,Transportation,Expense,-31.75
05-01-2000,Utilities,Expense,-139.14
05-01-2000,Transportation,Expense,-12.83
05-01-2000,Transportation,Expense,-55.81
05-01-2000,Transportation,Expense,-45.9
05-01-2000,Coffee/Snacks,Expense,-5.86
05-01-2000,Eating Out,Expense,-53.5
06-01-2000,Groceries,Expense,-101.7
06-01-2000,Groceries,Expense,-35.99
06-01-2000,Eating Out,Expense,-33.07
06-01-2000,Coffee/Snacks,Expense,-23.77
06-01-2000,Transportation,Expense,-9.66
06-01-2000,Eating Out,Expense,-17.74
06-01-2000,Coffee/Snacks,Expense,-3.87
06-01-2000,Shopping,Expense,-429.51
07-01-2000,Groceries,Expense,-50.32
07-01-2000,Groceries,Expense,-132.71
07-01-2000,Transportation,Expense,-19.68
07-01-2000,Transportation,Expense,-40.11
08-01-2000,Groceries,Expense,-139.62
08-01-2000,Eating Out,Expense,-17.25
08-01-2000,Coffee/Snacks,Expense,-21.04
08-01-2000,Transportation,Expense,-74.89
08-01-2000,Groceries,Expense,-59.72
09-01-2000,Coffee/Snacks,Expense,-11.86
09-01-2000,Transportation,Expense,-44.44
09-01-2000,Groceries,Expense,-42.63
09-01-2000,Coffee/Snacks,Expense,-9.31
09-01-2000,Eating Out,Expense,-81.42
09-01-2000,Coffee/Snacks,Expense,-3.14
09-01-2000,Groceries,Expense,-96.28
10-01-2000,Eating Out,Expense,-90.46
10-01-2000,Eating Out,Expense,-59.67
10-01-2000,Eating Out,Expense,-70.87
10-01-2000,Coffee/Snacks,Expense,-13.15
11-01-2000,Eating Out,Expense,-70.08
11-01-2000,Transportation,Expense,-74.59
11-01-2000,Groceries,Expense,-124.54
11-01-2000,Eating Out,Expense,-61.64
11-01-2000,Groceries,Expense,-32.63
11-01-2000,Coffee/Snacks,Expense,-11.95
12-01-2000,Entertainment,Expense,-277.53
12-01-2000,Coffee/Snacks,Expense,-13.59
12-01-2000,Groceries,Expense,-37.11
12-01-2000,Eating Out,Expense,-88.76
12-01-2000,Eating Out,Expense,-46.66
12-01-2000,Coffee/Snacks,Expense,-5.35
13-01-2000,Eating Out,Expense,-49.09
13-01-2000,Groceries,Expense,-121.14
13-01-2000,Transportation,Expense,-47.2
13-01-2000,Eating Out,Expense,-13.18
13-01-2000,Groceries,Expense,-148.26
13-01-2000,Groceries,Expense,-105.89
14-01-2000,Transportation,Expense,-14.53
14-01-2000,Eating Out,Expense,-39.9
14-01-2000,Eating Out,Expense,-92.63
14-01-2000,Coffee/Snacks,Expense,-20.7
14-01-2000,Coffee/Snacks,Expense,-9.7
15-01-2000,Eating Out,Expense,-69.2
15-01-2000,Eating Out,Expense,-40.41
15-01-2000,Transportation,Expense,-66.52
15-01-2000,Groceries,Expense,-39.76
15-01-2000,Eating Out,Expense,-92.59
15-01-2000,Transportation,Expense,-46.98
15-01-2000,Groceries,Expense,-109.07
15-01-2000,Phone/Internet,Expense,-76.29
15-01-2000,Entertainment,Expense,-78.7
15-01-2000,Salary,Income,2500
16-01-2000,Eating Out,Expense,-88.81
16-01-2000,Coffee/Snacks,Expense,-16.16
16-01-2000,Transportation,Expense,-54.15
16-01-2000,Coffee/Snacks,Expense,-17.55
16-01-2000,Groceries,Expense,-46.39
16-01-2000,Transportation,Expense,-7
17-01-2000,Eating Out,Expense,-96.93
17-01-2000,Groceries,Expense,-138.03
17-01-2000,Groceries,Expense,-124.09
17-01-2000,Transportation,Expense,-68.29
17-01-2000,Coffee/Snacks,Expense,-17.11
17-01-2000,Eating Out,Expense,-44.05
18-01-2000,Transportation,Expense,-20.48
18-01-2000,Transportation,Expense,-72.08
18-01-2000,Coffee/Snacks,Expense,-20.88
18-01-2000,Transportation,Expense,-8.91
18-01-2000,Transportation,Expense,-57.9
18-01-2000,Groceries,Expense,-94.03
19-01-2000,Eating Out,Expense,-21.14
19-01-2000,Coffee/Snacks,Expense,-22.38
19-01-2000,Groceries,Expense,-132.12
19-01-2000,Eating Out,Expense,-77.57
19-01-2000,Coffee/Snacks,Expense,-18.31
19-01-2000,Eating Out,Expense,-41.16
20-01-2000,Eating Out,Expense,-53.12
20-01-2000,Transportation,Expense,-17.67
20-01-2000,Coffee/Snacks,Expense,-8.36
20-01-2000,Groceries,Expense,-28.06
20-01-2000,Eating Out,Expense,-54.77
20-01-2000,Groceries,Expense,-134.82
21-01-2000,Transportation,Expense,-68.11
21-01-2000,Groceries,Expense,-144.72
21-01-2000,Groceries,Expense,-111.85
21-01-2000,Eating Out,Expense,-43.71
21-01-2000,Transportation,Expense,-58.67
22-01-2000,Groceries,Expense,-88.92
22-01-2000,Transportation,Expense,-26.97
22-01-2000,Transportation,Expense,-32.1
22-01-2000,Transportation,Expense,-56.88
22-01-2000,Eating Out,Expense,-42.41
23-01-2000,Groceries,Expense,-134.68
23-01-2000,Coffee/Snacks,Expense,-20.06
23-01-2000,Groceries,Expense,-124.08
23-01-2000,Groceries,Expense,-49.05
24-01-2000,Groceries,Expense,-24.27
24-01-2000,Transportation,Expense,-16.82
24-01-2000,Eating Out,Expense,-52.19
24-01-2000,Eating Out,Expense,-84.17
24-01-2000,Shopping,Expense,-291.37
25-01-2000,Entertainment,Expense,-235.65
25-01-2000,Transportation,Expense,-11.75
25-01-2000,Transportation,Expense,-41.78
25-01-2000,Transportation,Expense,-62.38
25-01-2000,Groceries,Expense,-95.74
25-01-2000,Transportation,Expense,-43.06
26-01-2000,Groceries,Expense,-108.46
26-01-2000,Eating Out,Expense,-67.37
26-01-2000,Groceries,Expense,-68.23
26-01-2000,Coffee/Snacks,Expense,-23.93
26-01-2000,Coffee/Snacks,Expense,-6.87
26-01-2000,Eating Out,Expense,-86.83
27-01-2000,Eating Out,Expense,-44.48
27-01-2000,Eating Out,Expense,-27.49
27-01-2000,Transportation,Expense,-61.25
27-01-2000,Coffee/Snacks,Expense,-20.66
28-01-2000,Coffee/Snacks,Expense,-4.06
28-01-2000,Eating Out,Expense,-82.55
28-01-2000,Transportation,Expense,-42.77
28-01-2000,Transportation,Expense,-6.39
29-01-2000,Groceries,Expense,-62.9
29-01-2000,Groceries,Expense,-48.43
29-01-2000,Eating Out,Expense,-87.27
29-01-2000,Transportation,Expense,-67.4
29-01-2000,Eating Out,Expense,-98.4
29-01-2000,Groceries,Expense,-133.14
29-01-2000,Shopping,Expense,-465.17
30-01-2000,Transportation,Expense,-64.22
30-01-2000,Eating Out,Expense,-34.1
30-01-2000,Eating Out,Expense,-78.41
30-01-2000,Groceries,Expense,-51.2
30-01-2000,Transportation,Expense,-15.02
30-01-2000,Transportation,Expense,-56.08
30-01-2000,Eating Out,Expense,-62.7
31-01-2000,Eating Out,Expense,-65.27
31-01-2000,Coffee/Snacks,Expense,-24.88
31-01-2000,Groceries,Expense,-70.66
31-01-2000,Eating Out,Expense,-60.07
31-01-2000,Groceries,Expense,-54.89
01-02-2000,Rent/Mortgage,Expense,-1500
01-02-2000,Eating Out,Expense,-71.65
01-02-2000,Salary,Income,2500
01-02-2000,Groceries,Expense,-96.56
01-02-2000,Eating Out,Expense,-93.36
01-02-2000,Transportation,Expense,-13.82
02-02-2000,Transportation,Expense,-40.02
02-02-2000,Eating Out,Expense,-92.83
02-02-2000,Transportation,Expense,-21.95
02-02-2000,Transportation,Expense,-34.11
02-02-2000,Coffee/Snacks,Expense,-17.64
02-02-2000,Coffee/Snacks,Expense,-22.53
02-02-2000,Groceries,Expense,-63.01
03-02-2000,Entertainment,Expense,-67.26
03-02-2000,Coffee/Snacks,Expense,-10.76
03-02-2000,Groceries,Expense,-57.57
03-02-2000,Transportation,Expense,-24.34
03-02-2000,Transportation,Expense,-42.41
03-02-2000,Coffee/Snacks,Expense,-24.71
03-02-2000,Groceries,Expense,-92.95
04-02-2000,Groceries,Expense,-138.46
04-02-2000,Transportation,Expense,-41.3
04-02-2000,Transportation,Expense,-59.2
04-02-2000,Eating Out,Expense,-58.87
05-02-2000,Coffee/Snacks,Expense,-12.37
05-02-2000,Groceries,Expense,-36.85
05-02-2000,Coffee/Snacks,Expense,-9.29
05-02-2000,Groceries,Expense,-75.75
05-02-2000,Transportation,Expense,-70.68
05-02-2000,Utilities,Expense,-243.36
06-02-2000,Groceries,Expense,-15.11
06-02-2000,Groceries,Expense,-44.08
06-02-2000,Eating Out,Expense,-69.04
06-02-2000,Transportation,Expense,-11.57
06-02-2000,Eating Out,Expense,-78.12
06-02-2000,Coffee/Snacks,Expense,-17.87
07-02-2000,Coffee/Snacks,Expense,-15.79
07-02-2000,Eating Out,Expense,-45.15
07-02-2000,Eating Out,Expense,-42.68
07-02-2000,Eating Out,Expense,-60.04
07-02-2000,Entertainment,Expense,-238.58
08-02-2000,Coffee/Snacks,Expense,-17.75
08-02-2000,Coffee/Snacks,Expense,-5.35
08-02-2000,Transportation,Expense,-10.57
08-02-2000,Groceries,Expense,-70.52
08-02-2000,Coffee/Snacks,Expense,-21.62
09-02-2000,Coffee/Snacks,Expense,-5.3
09-02-2000,Transportation,Expense,-26.15
09-02-2000,Groceries,Expense,-84.42
09-02-2000,Groceries,Expense,-60.83
09-02-2000,Eating Out,Expense,-65.76
10-02-2000,Groceries,Expense,-48.47
10-02-2000,Coffee/Snacks,Expense,-23.34
10-02-2000,Groceries,Expense,-35.39
10-02-2000,Transportation,Expense,-11.06
11-02-2000,Transportation,Expense,-17.47
11-02-2000,Groceries,Expense,-108.52
11-02-2000,Eating Out,Expense,-84.83
11-02-2000,Groceries,Expense,-81.68
11-02-2000,Transportation,Expense,-27.1
11-02-2000,Coffee/Snacks,Expense,-3.28
12-02-2000,Coffee/Snacks,Expense,-10.81
12-02-2000,Eating Out,Expense,-75.43
12-02-2000,Groceries,Expense,-26.72
12-02-2000,Transportation,Expense,-55.42
12-02-2000,Groceries,Expense,-65.73
13-02-2000,Transportation,Expense,-45.03
13-02-2000,Transportation,Expense,-64.75
13-02-2000,Transportation,Expense,-52
13-02-2000,Eating Out,Expense,-24.08
13-02-2000,Groceries,Expense,-53.75
13-02-2000,Eating Out,Expense,-44.3
14-02-2000,Groceries,Expense,-44.67
14-02-2000,Eating Out,Expense,-23.7
14-02-2000,Eating Out,Expense,-10.09
14-02-2000,Transportation,Expense,-8.16
14-02-2000,Eating Out,Expense,-95.74
15-02-2000,Salary,Income,2500
15-02-2000,Phone/Internet,Expense,-90.91
15-02-2000,Coffee/Snacks,Expense,-10.43
15-02-2000,Eating Out,Expense,-74.63
15-02-2000,Groceries,Expense,-142.61
15-02-2000,Eating Out,Expense,-11.11
16-02-2000,Transportation,Expense,-17.96
16-02-2000,Transportation,Expense,-67.42
16-02-2000,Transportation,Expense,-17.42
16-02-2000,Eating Out,Expense,-19.18
16-02-2000,Coffee/Snacks,Expense,-4.74
16-02-2000,Groceries,Expense,-138.36
16-02-2000,Coffee/Snacks,Expense,-5.22
17-02-2000,Eating Out,Expense,-16.46
17-02-2000,Eating Out,Expense,-91.92
17-02-2000,Groceries,Expense,-125.34
17-02-2000,Transportation,Expense,-41.67
17-02-2000,Groceries,Expense,-22.49
17-02-2000,Transportation,Expense,-10.5
18-02-2000,Transportation,Expense,-6.34
18-02-2000,Transportation,Expense,-48.4
18-02-2000,Transportation,Expense,-51.87
18-02-2000,Coffee/Snacks,Expense,-7.77
18-02-2000,Coffee/Snacks,Expense,-7.05
18-02-2000,Groceries,Expense,-102.69
18-02-2000,Groceries,Expense,-129.53
19-02-2000,Groceries,Expense,-36.8
19-02-2000,Coffee/Snacks,Expense,-6.53
19-02-2000,Groceries,Expense,-126.9
19-02-2000,Coffee/Snacks,Expense,-13.69
19-02-2000,Groceries,Expense,-79.27
20-02-2000,Coffee/Snacks,Expense,-5.5
20-02-2000,Eating Out,Expense,-57.61
20-02-2000,Coffee/Snacks,Expense,-9.67
20-02-2000,Eating Out,Expense,-39.16
21-02-2000,Transportation,Expense,-18.18
21-02-2000,Eating Out,Expense,-92.58
21-02-2000,Coffee/Snacks,Expense,-22.1
21-02-2000,Groceries,Expense,-38.13
22-02-2000,Transportation,Expense,-14.82
22-02-2000,Coffee/Snacks,Expense,-16.43
22-02-2000,Coffee/Snacks,Expense,-24.1
22-02-2000,Transportation,Expense,-8.14
22-02-2000,Coffee/Snacks,Expense,-14.57
22-02-2000,Coffee/Snacks,Expense,-17.94
23-02-2000,Eating Out,Expense,-26.12
23-02-2000,Transportation,Expense,-67.47
23-02-2000,Coffee/Snacks,Expense,-18.67
23-02-2000,Transportation,Expense,-8.97
24-02-2000,Transportation,Expense,-73.83
24-02-2000,Coffee/Snacks,Expense,-8.14
24-02-2000,Transportation,Expense,-48.4
24-02-2000,Transportation,Expense,-63.11
24-02-2000,Transportation,Expense,-41.18
25-02-2000,Transportation,Expense,-49.85
25-02-2000,Groceries,Expense,-36.3
25-02-2000,Coffee/Snacks,Expense,-5.54
25-02-2000,Groceries,Expense,-73.94
25-02-2000,Groceries,Expense,-39.75
25-02-2000,Groceries,Expense,-98.79
26-02-2000,Groceries,Expense,-28.81
26-02-2000,Coffee/Snacks,Expense,-18.93
26-02-2000,Transportation,Expense,-51.49
26-02-2000,Coffee/Snacks,Expense,-4.23
